"source_path","site","classification","file_type","bytes","dimensions","sha256","disposition","destination","owner","usage_files","alt_text","alt_text_status","caption","credit","usage_approval","original_status","exact_duplicate_of","possible_duplicate_of","quality_issues","notes"
"apps/churchmain/public/images/placeholds/1.jpg","churchmain","editorial image","jpg","35411","681x450","8f09247652cf5f98acce1d231944e482baf891dbd67d0447d103baf78cd2697e","replace","Sanity image asset after an approved church original is supplied","churchMain.homePage.hero","apps/churchmain/src/components/home/hero.astro","RCCG Cornerstone Assembly congregation","present but inaccurate for the stock image",,,"development-only","missing; placeholder only",,,"placeholder; alt text describes intended content rather than the current image","Allowed as a Church Main development placeholder; do not migrate this stock image."
"apps/churchmain/src/assets/cornerstone-logo-horizontal.png","churchmain","logo/brand asset","png","813755","1919x820","0d7b1686bdc9650914e83b91c77065a7b14ecebb4ecc3caa960e91bc0c8daf01","keep in Git","apps/churchmain/src/assets","churchMain.brand","apps/churchmain/src/components/home/hero.astro; apps/churchmain/src/layouts/layout.astro","RCCG Cornerstone Assembly","present",,,"unconfirmed","rendered PNG only; design source unconfirmed",,,"","Build-time brand asset; do not move blindly into Sanity."
"apps/churchmain/src/assets/logo.png","churchmain","logo/brand asset","png","656879","944x770","7ca376b89e79a5fd0b31aebc8846405ce845370836d7440ddc366319f57fd7e7","keep in Git","apps/churchmain/src/assets","churchMain.brand","apps/churchmain/src/layouts/layout.astro","RCCG Cornerstone Assembly — home","present",,,"unconfirmed","rendered PNG only; vector source unconfirmed",,,"large raster logo; optimize or replace with an approved vector original if available","Used as the site mark and favicon."
"apps/churchmain/src/assets/pastors/reuben-adeleye.png","churchmain","editorial image","png","253079","900x900","e173af706f59d435f5243a7f845b917e990decc1927978179c37a7e417868bac","move to Sanity","Sanity person portrait image","person.reubenAdeleye","apps/churchmain/src/components/home/welcome-message.astro","Pst. Reuben Adeleye","present",,,"unconfirmed","derived square crop; original photograph missing",,"apps/womanexcel/public/images/speakers/reuben-adeleye.png","permission and credit unconfirmed; possible derivative duplicate","The component says this was copied from the Woman Excel site."
"apps/churchmain/src/assets/pastors/toyin-adeleye.png","churchmain","editorial image","png","168994","900x900","783402990b615c0c0030845d9e8f50b4a66f32ced75208478df17059690a96b1","move to Sanity","Sanity person portrait image","person.toyinAdeleye","apps/churchmain/src/components/home/welcome-message.astro","Pst. Toyin Adeleye","present",,,"unconfirmed","derived square crop; original photograph missing",,"apps/womanexcel/public/images/speakers/toyin-adeleye.png","permission and credit unconfirmed; possible derivative duplicate","The component says this was copied from the Woman Excel site."
"apps/womanexcel/public/images/banner.jpeg","womanexcel","document","jpeg","282589","1920x1080","720dd5e2473ff3127d12486b2257d77080101a6d9a4c87dc42648d0563d2248b","move to Sanity","Sanity conference promotional image","womanExcel.conference.2026","apps/womanexcel/src/components/conference/2026/mailinglist.astro",,"missing",,,"unconfirmed","flattened JPEG only; editable design source missing",,,"missing alt text; important event details exist only inside the image; permission and credit unconfirmed","Real 2026 event poster, not placeholder photography."
"apps/womanexcel/public/images/logo-full.png","womanexcel","logo/brand asset","png","28358","1090x780","b3b467c762ca23f127a73ad87882fde58c3feaf2b87bc42a19db83597708c8c4","keep in Git","apps/womanexcel/public/images","womanExcel.conference.brand","apps/womanexcel/src/components/conference/2026/aboutus.astro; apps/womanexcel/src/components/home/conference.astro","The Woman Excel International Conference","present on homepage; empty on conference about section",,,"unconfirmed","rendered PNG; editable design source unconfirmed",,,"","The empty conference-page alt can be valid if the nearby heading conveys the same identity."
"apps/womanexcel/public/images/placeholds/photo-1.jpg","womanexcel","editorial image","jpg","215005","1600x900","f05db63d7e6575041161b3f495ee2bcc9d47a1903ba46fc625b0258ddd9ce70e","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.2026.hero; womanExcel.homePage.hero","apps/womanexcel/src/components/conference/2026/hero.astro; apps/womanexcel/src/components/home/hero.astro","Woman Excel conference highlight 1 on conference page; decorative on fellowship homepage","present but inaccurate for stock image",,,"not approved for production","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Conference sites must use only real supplied images."
"apps/womanexcel/public/images/placeholds/photo-10.jpg","womanexcel","editorial image","jpg","139010","1600x900","178997f4337fda41faf4f90d17582fc2841352e6541ace510fd666179949e559","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.2026.hero; womanExcel.homePage.hero","apps/womanexcel/src/components/conference/2026/hero.astro; apps/womanexcel/src/components/home/hero.astro","Woman Excel conference highlight 10 on conference page; decorative on fellowship homepage","present but inaccurate for stock image",,,"not approved for production","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Conference sites must use only real supplied images."
"apps/womanexcel/public/images/placeholds/photo-2.jpg","womanexcel","editorial image","jpg","143804","1600x900","7b39b55f4238b5a5d05ea7ed1efcc1dbdd193f029c4c85a6b6971d54a8ec2ba2","replace","Sanity image asset after approved real conference photography is supplied","womanExcel.conference.2026.hero","apps/womanexcel/src/components/conference/2026/hero.astro","Woman Excel conference highlight 2","present but inaccurate for stock image",,,"not approved for production","missing; placeholder only",,,"placeholder; not a real Woman Excel image","Conference sites must use only real supplied images."
